Time: 2025-09-25 09:20
Stock,Signal,Score,Change,OI Status,Action
OIL-I,🔥 VERY STRONG BUY,22.90,NEW,Normal,🔥 BUY CALLS STRONG
KFINTECH-I,⚡ STRONG BUY,19.67,NEW,Normal,⚡ BUY CALLS - ATM/OTM
BDL-I,⚡ STRONG BUY,17.16,NEW,Normal,⚡ BUY CALLS - ATM/OTM
RVNL-I,⚡ STRONG BUY,17.10,NEW,Normal,⚡ BUY CALLS - ATM/OTM
KPITTECH-I,⚡ STRONG BUY,15.51,NEW,Normal,⚡ BUY CALLS - ATM/OTM
TITAGARH-I,⚡ STRONG BUY,15.21,NEW,Normal,⚡ BUY CALLS - ATM/OTM
KAYNES-I,⚡ STRONG BUY,13.68,NEW,Normal,⚡ BUY CALLS - ATM/OTM
ANGELONE-I,🟢 BUY - Call Potential,11.70,NEW,Strong Call Setup,📈 Consider Calls - OTM Safe
VEDL-I,🟢 BUY - Call Potential,10.87,NEW,Normal,📈 Consider Calls - OTM Safe
NHPC-I,🟢 BUY - Call Potential,10.31,NEW,Normal,📈 Consider Calls - OTM Safe
HINDZINC-I,🟢 BUY - Call Potential,10.02,NEW,Normal,📈 Consider Calls - OTM Safe
KEI-I,🟢 BUY - Call Potential,9.78,NEW,Normal,📈 Consider Calls - OTM Safe
UNOMINDA-I,🟢 BUY - Call Potential,9.61,NEW,Normal,📈 Consider Calls - OTM Safe
BLUESTARCO-I,🟢 BUY - Call Potential,9.55,NEW,Normal,📈 Consider Calls - OTM Safe
ADANIENSOL-I,🟢 BUY - Call Potential,9.16,NEW,Normal,📈 Consider Calls - OTM Safe
CAMS-I,🟢 BUY - Call Potential,8.55,NEW,Normal,📈 Consider Calls - OTM Safe
MAZDOCK-I,🟢 BUY - Call Potential,8.54,NEW,Normal,📈 Consider Calls - OTM Safe
NBCC-I,🟢 BUY - Call Potential,8.49,NEW,Normal,📈 Consider Calls - OTM Safe
TATAMOTORS-I,⚡ STRONG SELL,-19.73,NEW,Normal,⚡ BUY PUTS - ATM/OTM
ASTRAL-I,⚡ STRONG SELL,-18.24,NEW,Normal,⚡ BUY PUTS - ATM/OTM
MANAPPURAM-I,⚡ STRONG SELL,-16.56,NEW,Normal,⚡ BUY PUTS - ATM/OTM
TIINDIA-I,⚡ STRONG SELL,-14.54,NEW,Normal,⚡ BUY PUTS - ATM/OTM
PAYTM-I,⚡ STRONG SELL,-13.39,NEW,Normal,⚡ BUY PUTS - ATM/OTM
