Time: 2025-09-29 09:20
Stock,Signal,Score,Change,OI Status,Action
KFINTECH-I,⚡ STRONG BUY,17.00,NEW,Normal,⚡ BUY CALLS - ATM/OTM
PETRONET-I,⚡ STRONG BUY,16.67,NEW,Normal,⚡ BUY CALLS - ATM/OTM
360ONE-I,⚡ STRONG BUY,16.13,NEW,Normal,⚡ BUY CALLS - ATM/OTM
BEL-I,⚡ STRONG BUY,16.09,NEW,Normal,⚡ BUY CALLS - ATM/OTM
BPCL-I,⚡ STRONG BUY,15.31,NEW,Normal,⚡ BUY CALLS - ATM/OTM
IOC-I,⚡ STRONG BUY,14.82,NEW,Normal,⚡ BUY CALLS - ATM/OTM
BSE-I,⚡ STRONG BUY,13.06,NEW,Normal,⚡ BUY CALLS - ATM/OTM
HINDZINC-I,⚡ STRONG BUY,12.92,NEW,Normal,⚡ BUY CALLS - ATM/OTM
OIL-I,⚡ STRONG BUY,12.75,NEW,Normal,⚡ BUY CALLS - ATM/OTM
ASHOKLEY-I,⚡ STRONG BUY,12.61,NEW,Normal,⚡ BUY CALLS - ATM/OTM
HFCL-I,🟢 BUY - Call Potential,11.23,NEW,Normal,📈 Consider Calls - OTM Safe
IRFC-I,🟢 BUY - Call Potential,9.46,NEW,Normal,📈 Consider Calls - OTM Safe
IIFL-I,🟢 BUY - Call Potential,8.27,NEW,Normal,📈 Consider Calls - OTM Safe
INOXWIND-I,🟢 BUY - Call Potential,8.04,NEW,Normal,📈 Consider Calls - OTM Safe
HINDUNILVR-I,🔥 VERY STRONG SELL,-20.03,NEW,Normal,🔥 BUY PUTS STRONG
AXISBANK-I,🔴 SELL - Put Potential,-11.85,NEW,Normal,📉 Consider Puts - OTM Safe
BRITANNIA-I,🔴 SELL - Put Potential,-11.34,NEW,Normal,📉 Consider Puts - OTM Safe
DIXON-I,🔴 SELL - Put Potential,-11.31,NEW,Normal,📉 Consider Puts - OTM Safe
PERSISTENT-I,🔴 SELL - Put Potential,-9.56,NEW,Normal,📉 Consider Puts - OTM Safe
SUPREMEIND-I,🔴 SELL - Put Potential,-9.45,NEW,Normal,📉 Consider Puts - OTM Safe
AMBER-I,🔴 SELL - Put Potential,-9.36,NEW,Normal,📉 Consider Puts - OTM Safe
COLPAL-I,🔴 SELL - Put Potential,-8.64,NEW,Normal,📉 Consider Puts - OTM Safe

Time: 2025-09-29 09:25
Stock,Signal,Score,Change,OI Status,Action
KFINTECH-I,⚡ STRONG BUY,17.94,+0.94,Normal,⚡ BUY CALLS - ATM/OTM
HINDZINC-I,⚡ STRONG BUY,16.19,+3.27,Normal,⚡ BUY CALLS - ATM/OTM
360ONE-I,⚡ STRONG BUY,15.94,-0.19,Normal,⚡ BUY CALLS - ATM/OTM
BEL-I,⚡ STRONG BUY,15.86,-0.23,Normal,⚡ BUY CALLS - ATM/OTM
OIL-I,⚡ STRONG BUY,15.05,+2.29,Normal,⚡ BUY CALLS - ATM/OTM
PETRONET-I,⚡ STRONG BUY,14.27,-2.40,Normal,⚡ BUY CALLS - ATM/OTM
BPCL-I,⚡ STRONG BUY,14.15,-1.17,Normal,⚡ BUY CALLS - ATM/OTM
ASHOKLEY-I,⚡ STRONG BUY,13.78,+1.17,Normal,⚡ BUY CALLS - ATM/OTM
BSE-I,⚡ STRONG BUY,13.42,+0.35,Normal,⚡ BUY CALLS - ATM/OTM
