Time: 2025-10-01 09:20
Stock,Signal,Score,Change,OI Status,Action
HUDCO-I,🚀 ULTRA STRONG BUY - AGGRESSIVE CALLS,40.13,NEW,Strong Call Setup,🚨 BUY CALLS AGGRESSIVELY - ATM/ITM
SHRIRAMFIN-I,🚀 ULTRA STRONG BUY - AGGRESSIVE CALLS,36.99,NEW,Strong Call Setup,🚨 BUY CALLS AGGRESSIVELY - ATM/ITM
SUNPHARMA-I,🚀 ULTRA STRONG BUY - AGGRESSIVE CALLS,36.64,NEW,Strong Call Setup,🚨 BUY CALLS AGGRESSIVELY - ATM/ITM
PPLPHARMA-I,🚀 ULTRA STRONG BUY - AGGRESSIVE CALLS,36.00,NEW,Strong Call Setup,🚨 BUY CALLS AGGRESSIVELY - ATM/ITM
UNITDSPR-I,🚀 ULTRA STRONG BUY - AGGRESSIVE CALLS,35.42,NEW,Call Setup,🚨 BUY CALLS AGGRESSIVELY - ATM/ITM
ADANIGREEN-I,🔥 VERY STRONG BUY - CALL FOCUS,34.55,NEW,Call Setup,🔥 BUY CALLS STRONG
PAGEIND-I,🔥 VERY STRONG BUY - CALL FOCUS,33.89,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
RECLTD-I,🔥 VERY STRONG BUY - CALL FOCUS,33.40,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
MAZDOCK-I,🔥 VERY STRONG BUY - CALL FOCUS,32.77,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
TRENT-I,🔥 VERY STRONG BUY - CALL FOCUS,32.10,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
LAURUSLABS-I,🔥 VERY STRONG BUY,31.46,NEW,Put Setup,🔥 BUY CALLS STRONG
BHEL-I,🔥 VERY STRONG BUY - CALL FOCUS,31.40,NEW,Call Setup,🔥 BUY CALLS STRONG
PFC-I,🔥 VERY STRONG BUY - CALL FOCUS,31.37,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
AUROPHARMA-I,🔥 VERY STRONG BUY - CALL FOCUS,30.85,NEW,Call Setup,🔥 BUY CALLS STRONG
HINDZINC-I,🔥 VERY STRONG BUY - CALL FOCUS,30.75,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
KAYNES-I,🔥 VERY STRONG BUY - CALL FOCUS,30.71,NEW,Call Setup,🔥 BUY CALLS STRONG
LUPIN-I,🔥 VERY STRONG BUY - CALL FOCUS,30.08,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
TATACONSUM-I,🔥 VERY STRONG BUY - CALL FOCUS,30.08,NEW,Call Setup,🔥 BUY CALLS STRONG
BPCL-I,🔥 VERY STRONG BUY - CALL FOCUS,29.23,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
ADANIENSOL-I,🔥 VERY STRONG BUY - CALL FOCUS,29.12,NEW,Call Setup,🔥 BUY CALLS STRONG
LTIM-I,🔥 VERY STRONG SELL - PUT FOCUS,-25.98,NEW,Put Setup,🔥 BUY PUTS STRONG
SBICARD-I,⚡ STRONG SELL,-18.51,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
RVNL-I,⚡ STRONG SELL,-17.00,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
WIPRO-I,⚡ STRONG SELL,-16.65,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
CHOLAFIN-I,⚡ STRONG SELL,-15.87,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
INFY-I,⚡ STRONG SELL,-13.00,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
ASHOKLEY-I,⚡ STRONG SELL,-12.09,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
RBLBANK-I,🔴 SELL - Put Potential,-11.95,NEW,Put Setup,📉 Consider Puts - OTM Safe
BLUESTARCO-I,🔴 SELL - Put Potential,-11.28,NEW,Put Setup,📉 Consider Puts - OTM Safe
INDIANB-I,🔴 SELL - Put Potential,-10.76,NEW,Put Setup,📉 Consider Puts - OTM Safe
TATAELXSI-I,🔴 SELL - Put Potential,-10.50,NEW,Put Setup,📉 Consider Puts - OTM Safe
