Time: 2025-10-01 09:20
Stock,Signal,Score,Change,ST+KDE Status,Action
HUDCO-I,🔥 VERY STRONG BUY - CALL FOCUS,33.02,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
SHRIRAMFIN-I,🔥 VERY STRONG BUY - CALL FOCUS,30.38,NEW,Call Setup,🔥 BUY CALLS STRONG
SUNPHARMA-I,🔥 VERY STRONG BUY - CALL FOCUS,30.08,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
PPLPHARMA-I,🔥 VERY STRONG BUY - CALL FOCUS,29.55,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
UNITDSPR-I,🔥 VERY STRONG BUY - CALL FOCUS,29.06,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
ADANIGREEN-I,🔥 VERY STRONG BUY - CALL FOCUS,28.33,NEW,Call Setup,🔥 BUY CALLS STRONG
PAGEIND-I,🔥 VERY STRONG BUY - CALL FOCUS,27.77,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
RECLTD-I,🔥 VERY STRONG BUY - CALL FOCUS,27.36,NEW,Call Setup,🔥 BUY CALLS STRONG
MAZDOCK-I,🔥 VERY STRONG BUY - CALL FOCUS,26.83,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
TRENT-I,🔥 VERY STRONG BUY - CALL FOCUS,26.26,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
LAURUSLABS-I,🔥 VERY STRONG BUY - CALL FOCUS,25.96,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
BHEL-I,🔥 VERY STRONG BUY - CALL FOCUS,25.67,NEW,Call Setup,🔥 BUY CALLS STRONG
PFC-I,🔥 VERY STRONG BUY - CALL FOCUS,25.65,NEW,Call Setup,🔥 BUY CALLS STRONG
AUROPHARMA-I,🔥 VERY STRONG BUY - CALL FOCUS,25.21,NEW,Call Setup,🔥 BUY CALLS STRONG
HINDZINC-I,🔥 VERY STRONG BUY - CALL FOCUS,25.13,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
KAYNES-I,🔥 VERY STRONG BUY - CALL FOCUS,25.09,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
LUPIN-I,🔥 VERY STRONG BUY - CALL FOCUS,24.80,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
TATACONSUM-I,🔥 VERY STRONG BUY - CALL FOCUS,24.56,NEW,Call Setup,🔥 BUY CALLS STRONG
BPCL-I,🔥 VERY STRONG BUY - CALL FOCUS,23.85,NEW,Strong Call Setup,🔥 BUY CALLS STRONG
ADANIENSOL-I,🔥 VERY STRONG BUY - CALL FOCUS,23.75,NEW,Call Setup,🔥 BUY CALLS STRONG
LTIM-I,🔥 VERY STRONG SELL - PUT FOCUS,-21.87,NEW,Put Setup,🔥 BUY PUTS STRONG
SBICARD-I,⚡ STRONG SELL,-15.58,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
RVNL-I,⚡ STRONG SELL,-14.31,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
WIPRO-I,⚡ STRONG SELL,-14.02,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
CHOLAFIN-I,⚡ STRONG SELL,-13.36,NEW,Put Setup,⚡ BUY PUTS - ATM/OTM
INFY-I,🔴 SELL - Put Potential,-10.95,NEW,Put Setup,📉 Consider Puts - OTM Safe
ASHOKLEY-I,🔴 SELL - Put Potential,-10.18,NEW,Put Setup,📉 Consider Puts - OTM Safe
RBLBANK-I,🔴 SELL - Put Potential,-10.06,NEW,Put Setup,📉 Consider Puts - OTM Safe
BLUESTARCO-I,🔴 SELL - Put Potential,-9.50,NEW,Put Setup,📉 Consider Puts - OTM Safe
INDIANB-I,🔴 SELL - Put Potential,-9.06,NEW,Put Setup,📉 Consider Puts - OTM Safe
TATAELXSI-I,🔴 SELL - Put Potential,-8.84,NEW,Put Setup,📉 Consider Puts - OTM Safe
DELHIVERY-I,🔴 SELL - Put Potential,-8.59,NEW,Put Setup,📉 Consider Puts - OTM Safe

Time: 2025-10-01 09:25
Stock,Signal,Score,Change,ST+KDE Status,Action
HUDCO-I,🔥 VERY STRONG BUY - CALL FOCUS,32.86,-0.16,Strong Call Setup,🔥 BUY CALLS STRONG
LAURUSLABS-I,🔥 VERY STRONG BUY - CALL FOCUS,30.81,+4.85,Strong Call Setup,🔥 BUY CALLS STRONG
LUPIN-I,🔥 VERY STRONG BUY - CALL FOCUS,30.47,+5.67,Strong Call Setup,🔥 BUY CALLS STRONG
RECLTD-I,🔥 VERY STRONG BUY - CALL FOCUS,30.11,+2.75,Call Setup,🔥 BUY CALLS STRONG
PPLPHARMA-I,🔥 VERY STRONG BUY - CALL FOCUS,30.04,+0.49,Strong Call Setup,🔥 BUY CALLS STRONG
PAGEIND-I,🔥 VERY STRONG BUY - CALL FOCUS,28.75,+0.98,Strong Call Setup,🔥 BUY CALLS STRONG
ADANIGREEN-I,🔥 VERY STRONG BUY - CALL FOCUS,28.62,+0.30,Call Setup,🔥 BUY CALLS STRONG
SYNGENE-I,🔥 VERY STRONG BUY - CALL FOCUS,28.32,+7.27,Strong Call Setup,🔥 BUY CALLS STRONG
GODREJPROP-I,🔥 VERY STRONG BUY - CALL FOCUS,28.10,+4.85,Call Setup,🔥 BUY CALLS STRONG
UNITDSPR-I,🔥 VERY STRONG BUY - CALL FOCUS,27.82,-1.24,Strong Call Setup,🔥 BUY CALLS STRONG
