===== Snapshot Time: 2025-10-08 09:20 =====

Top 20 Bullish (Momentum Breakouts)
Stock           | Signal             |   Score |     Change | Trend      | Flow                       | Action             
------------------------------------------------------------------------------------------------------------------------
COFORGE-I       | Strong Buy         |   64.54 |         NA | bullish    | Mixed/Unclear              | Consider Long      
LTIM-I          | Strong Buy         |   62.66 |         NA | bullish    | Institutional Accumulation | Consider Long      
MPHASIS-I       | Strong Buy         |   59.35 |         NA | bullish    | Institutional Accumulation | Consider Long      
DIVISLAB-I      | Strong Buy         |   58.58 |         NA | bullish    | Institutional Accumulation | Consider Long      
HCLTECH-I       | Strong Buy         |   56.63 |         NA | bullish    | Mixed/Unclear              | Consider Long      
SBICARD-I       | Strong Buy         |   56.54 |         NA | bullish    | Mixed/Unclear              | Consider Long      
TITAN-I         | Strong Buy         |   54.62 |         NA | bullish    | Institutional Accumulation | Consider Long      
SRF-I           | Strong Buy         |   50.55 |         NA | bullish    | Mixed/Unclear              | Consider Long      
TCS-I           | Strong Buy         |   49.97 |         NA | bullish    | Institutional Accumulation | Consider Long      
GAIL-I          | Strong Buy         |   46.75 |         NA | bullish    | Mixed/Unclear              | Consider Long      
NATIONALUM-I    | Strong Buy         |   45.84 |         NA | bullish    | Institutional Accumulation | Consider Long      
ALKEM-I         | Strong Buy         |   45.61 |         NA | bullish    | Mixed/Unclear              | Consider Long      
ASHOKLEY-I      | Strong Buy         |   44.85 |         NA | bullish    | Institutional Accumulation | Consider Long      
APOLLOHOSP-I    | Strong Buy         |   44.15 |         NA | bullish    | Mixed/Unclear              | Consider Long      
PERSISTENT-I    | Strong Buy         |   43.03 |         NA | bullish    | Mixed/Unclear              | Consider Long      
KALYANKJIL-I    | Strong Buy         |   42.00 |         NA | bullish    | Mixed/Unclear              | Consider Long      
NMDC-I          | Strong Buy         |   41.80 |         NA | bullish    | Mixed/Unclear              | Consider Long      
GODREJPROP-I    | Strong Buy         |   40.57 |         NA | bullish    | Mixed/Unclear              | Consider Long      
TECHM-I         | Strong Buy         |   39.56 |         NA | bullish    | Mixed/Unclear              | Consider Long      
TATAELXSI-I     | Strong Buy         |   39.04 |         NA | bullish    | Institutional Accumulation | Consider Long      

Top 20 Bearish (Momentum Breakdowns)
Stock           | Signal             |   Score |     Change | Trend      | Flow                       | Action             
------------------------------------------------------------------------------------------------------------------------
