Time: 2025-10-10 09:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,8.41,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 09:35
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,7.94,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 09:40
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,11.52,N/A,0,0,Normal,📈 Consider Calls
EXIDEIND-I,🟢 BUY - Call Potential,5.76,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 09:45
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,10.89,N/A,0,0,Normal,📈 Consider Calls
MANAPPURAM-I,🔴 SELL - Put Potential,-7.15,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 09:50
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,⚡ STRONG BUY,16.11,N/A,0,0,Normal,⚡ BUY CALLS
MANAPPURAM-I,🔴 SELL - Put Potential,-10.23,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 09:55
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,⚡ STRONG BUY,14.00,N/A,0,0,Normal,⚡ BUY CALLS
MANAPPURAM-I,🔴 SELL - Put Potential,-7.91,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 10:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,7.04,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 10:05
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,8.94,N/A,0,0,Normal,📈 Consider Calls
MANAPPURAM-I,🔴 SELL - Put Potential,-6.34,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 10:10
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PRESTIGE-I,🟢 BUY - Call Potential,8.83,N/A,0,0,Normal,📈 Consider Calls
BLUESTARCO-I,🟢 BUY - Call Potential,5.88,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 10:15
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,10.63,N/A,0,0,Normal,📈 Consider Calls
MANAPPURAM-I,🔴 SELL - Put Potential,-9.13,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 10:20
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,5.25,N/A,0,0,Normal,📈 Consider Calls
MANAPPURAM-I,⚡ STRONG SELL,-12.32,N/A,0,0,Normal,⚡ BUY PUTS

Time: 2025-10-10 10:25
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PRESTIGE-I,🟢 BUY - Call Potential,9.41,N/A,0,0,Normal,📈 Consider Calls
MANAPPURAM-I,🔴 SELL - Put Potential,-11.68,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 10:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
BLUESTARCO-I,🟢 BUY - Call Potential,8.62,N/A,0,0,Normal,📈 Consider Calls
MANAPPURAM-I,🔴 SELL - Put Potential,-8.72,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 10:35
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MANAPPURAM-I,🔴 SELL - Put Potential,-11.90,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 10:40
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MANAPPURAM-I,🔴 SELL - Put Potential,-11.90,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 10:45
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MANAPPURAM-I,🔴 SELL - Put Potential,-8.68,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 10:50
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
MANAPPURAM-I,🔴 SELL - Put Potential,-8.95,N/A,0,0,Normal,📉 Consider Puts

Time: 2025-10-10 11:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.11,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:05
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.11,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:10
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.11,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:15
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.11,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:20
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.11,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:25
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.11,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.54,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:35
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.54,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:40
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,14.54,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:45
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,15.18,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:50
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,15.18,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 11:55
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,15.18,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,16.32,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:05
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,16.32,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:10
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,16.32,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:15
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,16.34,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,⚡ STRONG BUY,15.21,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,14.32,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:20
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,16.34,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,⚡ STRONG BUY,14.48,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,14.32,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:25
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,15.61,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,⚡ STRONG BUY,15.21,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,14.32,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,16.42,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,14.32,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,⚡ STRONG BUY,13.64,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:35
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,16.42,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,⚡ STRONG BUY,15.21,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,14.32,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:40
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,15.03,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,14.32,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,⚡ STRONG BUY,13.73,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:45
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,15.07,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,15.04,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,⚡ STRONG BUY,12.60,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:50
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,15.07,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,15.04,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,⚡ STRONG BUY,13.18,N/A,0,0,Normal,⚡ BUY CALLS

Time: 2025-10-10 12:55
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,15.07,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,⚡ STRONG BUY,15.04,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,🟢 BUY - Call Potential,11.44,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,15.07,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,🟢 BUY - Call Potential,11.03,N/A,0,0,Normal,📈 Consider Calls
PGEL-I,🟢 BUY - Call Potential,9.58,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:05
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,14.08,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,🟢 BUY - Call Potential,9.58,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,7.61,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:10
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
DIVISLAB-I,⚡ STRONG BUY,12.51,N/A,0,0,Normal,⚡ BUY CALLS
PGEL-I,🟢 BUY - Call Potential,9.58,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,7.20,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:15
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.16,N/A,0,0,Normal,⚡ BUY CALLS
DIVISLAB-I,🟢 BUY - Call Potential,11.23,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,8.38,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:20
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.16,N/A,0,0,Normal,⚡ BUY CALLS
DIVISLAB-I,🟢 BUY - Call Potential,10.80,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,7.94,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:25
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.16,N/A,0,0,Normal,⚡ BUY CALLS
DIVISLAB-I,🟢 BUY - Call Potential,9.96,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,7.59,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:30
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,12.24,N/A,0,0,Normal,⚡ BUY CALLS
DIVISLAB-I,🟢 BUY - Call Potential,9.96,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,9.94,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:35
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,12.24,N/A,0,0,Normal,⚡ BUY CALLS
DIVISLAB-I,🟢 BUY - Call Potential,10.16,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,7.97,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:40
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,12.24,N/A,0,0,Normal,⚡ BUY CALLS
DIVISLAB-I,🟢 BUY - Call Potential,11.72,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,8.06,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:45
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.38,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,🟢 BUY - Call Potential,8.45,N/A,0,0,Normal,📈 Consider Calls
DIVISLAB-I,🟢 BUY - Call Potential,7.78,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:50
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.38,N/A,0,0,Normal,⚡ BUY CALLS
DIVISLAB-I,🟢 BUY - Call Potential,9.35,N/A,0,0,Normal,📈 Consider Calls
PPLPHARMA-I,🟢 BUY - Call Potential,6.59,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 13:55
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PGEL-I,⚡ STRONG BUY,13.38,N/A,0,0,Normal,⚡ BUY CALLS
PPLPHARMA-I,🟢 BUY - Call Potential,10.59,N/A,0,0,Normal,📈 Consider Calls
DIVISLAB-I,🟢 BUY - Call Potential,7.47,N/A,0,0,Normal,📈 Consider Calls

Time: 2025-10-10 14:00
Stock,Signal,Score,PCR,Call_OI,Put_OI,OI Status,Action
PPLPHARMA-I,🟢 BUY - Call Potential,8.07,N/A,0,0,Normal,📈 Consider Calls

