2025-12-03 11:35:02,ATM=25900,CallOI=540047,PutOI=466772,TotalOI=1006819,Diff=-73275,PCR=0.864,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:37:04,ATM=25900,CallOI=534970,PutOI=479180,TotalOI=1014150,Diff=-55790,PCR=0.896,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:39:07,ATM=25900,CallOI=534970,PutOI=479180,TotalOI=1014150,Diff=-55790,PCR=0.896,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:41:09,ATM=25900,CallOI=534970,PutOI=479180,TotalOI=1014150,Diff=-55790,PCR=0.896,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:43:10,ATM=25950,CallOI=674137,PutOI=504038,TotalOI=1178175,Diff=-170099,PCR=0.748,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:45:12,ATM=25950,CallOI=659903,PutOI=515422,TotalOI=1175325,Diff=-144481,PCR=0.781,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:47:14,ATM=25950,CallOI=659903,PutOI=515422,TotalOI=1175325,Diff=-144481,PCR=0.781,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:49:15,ATM=25950,CallOI=669427,PutOI=520799,TotalOI=1190226,Diff=-148628,PCR=0.778,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:51:17,ATM=25950,CallOI=670818,PutOI=522851,TotalOI=1193669,Diff=-147967,PCR=0.779,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:53:19,ATM=25950,CallOI=670818,PutOI=522851,TotalOI=1193669,Diff=-147967,PCR=0.779,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:55:21,ATM=25950,CallOI=670683,PutOI=530281,TotalOI=1200964,Diff=-140402,PCR=0.791,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 11:57:23,ATM=25950,CallOI=670683,PutOI=530281,TotalOI=1200964,Diff=-140402,PCR=0.791,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:21:39,ATM=25950,CallOI=649656,PutOI=540910,TotalOI=1190566,Diff=-108746,PCR=0.833,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:23:40,ATM=25950,CallOI=649656,PutOI=540910,TotalOI=1190566,Diff=-108746,PCR=0.833,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:25:41,ATM=25950,CallOI=642687,PutOI=542729,TotalOI=1185416,Diff=-99958,PCR=0.844,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:27:42,ATM=25950,CallOI=642687,PutOI=542729,TotalOI=1185416,Diff=-99958,PCR=0.844,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:29:44,ATM=25950,CallOI=640112,PutOI=548638,TotalOI=1188750,Diff=-91474,PCR=0.857,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:30:49,ATM=25950,CallOI=640112,PutOI=548638,TotalOI=1188750,Diff=-91474,PCR=0.857,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:31:45,ATM=25950,CallOI=640112,PutOI=548638,TotalOI=1188750,Diff=-91474,PCR=0.857,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:32:50,ATM=25950,CallOI=630828,PutOI=553480,TotalOI=1184308,Diff=-77348,PCR=0.877,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:33:47,ATM=25950,CallOI=630828,PutOI=553480,TotalOI=1184308,Diff=-77348,PCR=0.877,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:34:52,ATM=25950,CallOI=622659,PutOI=561864,TotalOI=1184523,Diff=-60795,PCR=0.902,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:35:48,ATM=25950,CallOI=622659,PutOI=561864,TotalOI=1184523,Diff=-60795,PCR=0.902,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:36:52,ATM=25950,CallOI=622659,PutOI=561864,TotalOI=1184523,Diff=-60795,PCR=0.902,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:37:50,ATM=25950,CallOI=621742,PutOI=562125,TotalOI=1183867,Diff=-59617,PCR=0.904,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:38:55,ATM=25950,CallOI=621742,PutOI=562125,TotalOI=1183867,Diff=-59617,PCR=0.904,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:39:51,ATM=25950,CallOI=621742,PutOI=562125,TotalOI=1183867,Diff=-59617,PCR=0.904,Sentiment=Neutral,ML=None,ML_prob=0.000
2025-12-03 12:40:56,ATM=25950,CallOI=621742,PutOI=562125,TotalOI=1183867,Diff=-59617,PCR=0.904,Sentiment=Neutral,ML=None,ML_prob=0.000
