Time: 2025-10-01 11:35
Stock,Signal,Score,Change,ST+KDE Status,Action
AXISBANK-I,⚡ STRONG BUY,19.42,NEW,Strong Call Setup,⚡ BUY CALLS - ATM/OTM
SRF-I,⚡ STRONG BUY,19.23,NEW,Strong Call Setup,⚡ BUY CALLS - ATM/OTM
SHRIRAMFIN-I,⚡ STRONG BUY,17.92,NEW,Call Setup,⚡ BUY CALLS - ATM/OTM
MFSL-I,⚡ STRONG BUY,13.49,NEW,Call Setup,⚡ BUY CALLS - ATM/OTM
TATAMOTORS-I,⚡ STRONG BUY,13.33,NEW,Call Setup,⚡ BUY CALLS - ATM/OTM
KAYNES-I,⚡ STRONG BUY,12.66,NEW,Call Setup,⚡ BUY CALLS - ATM/OTM
PPLPHARMA-I,⚡ STRONG BUY,12.31,NEW,Call Setup,⚡ BUY CALLS - ATM/OTM
TRENT-I,⚡ STRONG BUY,12.15,NEW,Put Setup,⚡ BUY CALLS - ATM/OTM
KOTAKBANK-I,⚡ STRONG BUY,12.01,NEW,Call Setup,⚡ BUY CALLS - ATM/OTM
NUVAMA-I,🟢 BUY - Call Potential,11.46,NEW,Call Setup,📈 Consider Calls - OTM Safe
PNBHOUSING-I,🟢 BUY - Call Potential,11.28,NEW,Call Setup,📈 Consider Calls - OTM Safe
ICICIBANK-I,🟢 BUY - Call Potential,11.22,NEW,Call Setup,📈 Consider Calls - OTM Safe
LTF-I,🟢 BUY - Call Potential,10.67,NEW,Call Setup,📈 Consider Calls - OTM Safe
LAURUSLABS-I,🟢 BUY - Call Potential,10.43,NEW,Call Setup,📈 Consider Calls - OTM Safe
BIOCON-I,🟢 BUY - Call Potential,10.43,NEW,Call Setup,📈 Consider Calls - OTM Safe
MANAPPURAM-I,🟢 BUY - Call Potential,10.42,NEW,Call Setup,📈 Consider Calls - OTM Safe
MAZDOCK-I,🟢 BUY - Call Potential,10.14,NEW,Call Setup,📈 Consider Calls - OTM Safe
PERSISTENT-I,🟢 BUY - Call Potential,10.01,NEW,Call Setup,📈 Consider Calls - OTM Safe
UPL-I,🟢 BUY - Call Potential,9.90,NEW,Call Setup,📈 Consider Calls - OTM Safe
HDFCBANK-I,🟢 BUY - Call Potential,9.88,NEW,Call Setup,📈 Consider Calls - OTM Safe

Time: 2025-10-01 11:45
Stock,Signal,Score,Change,ST+KDE Status,Action
AXISBANK-I,⚡ STRONG BUY,17.20,-2.23,Strong Call Setup,⚡ BUY CALLS - ATM/OTM
MFSL-I,⚡ STRONG BUY,15.02,+1.53,Call Setup,⚡ BUY CALLS - ATM/OTM
SRF-I,⚡ STRONG BUY,14.65,-4.57,Strong Call Setup,⚡ BUY CALLS - ATM/OTM
KAYNES-I,⚡ STRONG BUY,14.28,+1.63,Strong Call Setup,⚡ BUY CALLS - ATM/OTM
SHRIRAMFIN-I,⚡ STRONG BUY,14.12,-3.80,Call Setup,⚡ BUY CALLS - ATM/OTM
TRENT-I,⚡ STRONG BUY,13.71,+1.57,Call Setup,⚡ BUY CALLS - ATM/OTM
TATAMOTORS-I,⚡ STRONG BUY,13.03,-0.30,Call Setup,⚡ BUY CALLS - ATM/OTM
KOTAKBANK-I,⚡ STRONG BUY,12.01,+0.00,Call Setup,⚡ BUY CALLS - ATM/OTM
HDFCBANK-I,🟢 BUY - Call Potential,11.33,+1.45,Call Setup,📈 Consider Calls - OTM Safe
ICICIBANK-I,🟢 BUY - Call Potential,11.22,+0.00,Call Setup,📈 Consider Calls - OTM Safe
PNBHOUSING-I,🟢 BUY - Call Potential,10.98,-0.30,Call Setup,📈 Consider Calls - OTM Safe
LAURUSLABS-I,🟢 BUY - Call Potential,10.75,+0.31,Call Setup,📈 Consider Calls - OTM Safe
NUVAMA-I,🟢 BUY - Call Potential,10.50,-0.96,Call Setup,📈 Consider Calls - OTM Safe
BIOCON-I,🟢 BUY - Call Potential,10.43,+0.00,Call Setup,📈 Consider Calls - OTM Safe
LTF-I,🟢 BUY - Call Potential,10.37,-0.30,Call Setup,📈 Consider Calls - OTM Safe
AMBER-I,🟢 BUY - Call Potential,10.35,+10.09,Call Setup,📈 Consider Calls - OTM Safe
SUNPHARMA-I,🟢 BUY - Call Potential,10.20,+0.37,Call Setup,📈 Consider Calls - OTM Safe
PPLPHARMA-I,🟢 BUY - Call Potential,10.20,-2.11,Call Setup,📈 Consider Calls - OTM Safe
